n,run,theta_NO,theta_BH,t_NO,t_BH
40,69,7.379997987300158e-05,0.00202550005633384,0.02768120006658137,0.0049622999504208565
40,70,7.479998748749495e-05,0.002016299986280501,0.02808939991518855,0.004317900049500167
40,71,7.330009248107672e-05,0.0020340000046417117,0.02968219993636012,0.005374099942855537
40,72,7.71000050008297e-05,0.0020400999346747994,0.03194369992706925,0.005670600105077028
40,73,7.269997149705887e-05,0.002044099965132773,0.023093100055120885,0.005391099955886602
40,74,7.259997073560953e-05,0.0020097000524401665,0.028088700026273727,0.004001999972388148
40,75,7.46001023799181e-05,0.002065200009383261,0.026838499936275184,0.0053041999926790595
40,76,7.509998977184296e-05,0.002125500002875924,0.028675899957306683,0.00591030006762594
40,77,9.169999975711107e-05,0.0020692000398412347,0.030478399945423007,0.005682299961335957
40,78,7.810001261532307e-05,0.002053900039754808,0.028326100087724626,0.00563589995726943
40,79,7.509998977184296e-05,0.0020388999255374074,0.02895219996571541,0.006145399995148182
40,80,7.319997530430555e-05,0.002072600065730512,0.026391500025056303,0.005217400030232966
40,81,7.239996921271086e-05,0.0020679000299423933,0.02538010000716895,0.004654899938032031
40,82,7.229996845126152e-05,0.002041999949142337,0.029226399958133698,0.007446200004778802
40,83,7.479998748749495e-05,0.0020222000312060118,0.027568600024096668,0.0047299000434577465
40,84,7.509998977184296e-05,0.002023400040343404,0.023826800053939223,0.006012600031681359
40,85,7.399998139590025e-05,0.0021254000021144748,0.02958480000961572,0.005849800072610378
40,86,7.54999928176403e-05,0.00216780009213835,0.03132320009171963,0.004749499959871173
40,87,7.459998596459627e-05,0.002047700108960271,0.030672600027173758,0.003989699995145202
40,88,7.200008258223534e-05,0.002044999971985817,0.024530499940738082,0.005267400061711669
40,89,7.670000195503235e-05,0.0020083999261260033,0.026176000013947487,0.005308900028467178
40,90,7.720000576227903e-05,0.0020886000711470842,0.026985200005583465,0.004650400020182133
40,91,7.399998139590025e-05,0.002045299974270165,0.029385200003162026,0.004280699999071658
40,92,7.349997758865356e-05,0.002043600077740848,0.027179400087334216,0.005953499930910766
40,93,7.35999783501029e-05,0.002069199923425913,0.030729199992492795,0.005243899999186397
40,94,7.819989696145058e-05,0.0021431000204756856,0.02898510009981692,0.006796700065024197
40,95,7.459998596459627e-05,0.002022900036536157,0.028014999930746853,0.005500899977050722
40,96,7.619999814778566e-05,0.002007800037972629,0.02927370008546859,0.005171000026166439
40,97,7.730000652372837e-05,0.0020332999993115664,0.027709600050002337,0.0059220000403001904
40,98,7.260008715093136e-05,0.0020329999970272183,0.024681600043550134,0.007297100033611059
40,99,7.539999205619097e-05,0.00202819996047765,0.02626579999923706,0.005503399996086955
100,0,0.0001735000405460596,0.009474999969825149,0.2663530999561772,0.05326229997444898
100,1,0.00017709995154291391,0.009314000024460256,0.26107010000851005,0.03643159999046475
100,2,0.00017260003369301558,0.009386699995957315,0.24971669993828982,0.05122889997437596
100,3,0.00017910008318722248,0.00926910003181547,0.26052389992401004,0.04391769994981587
100,4,0.0001708000199869275,0.009405100019648671,0.23840249993372709,0.044035399914719164
100,5,0.000174800050444901,0.009388100006617606,0.26740279991645366,0.05390099994838238
100,6,0.0001767999492585659,0.009308399981819093,0.24736429995391518,0.05418059998191893
100,7,0.00017389992717653513,0.009416499990038574,0.25536740000825375,0.04210369999054819
100,8,0.0001743000466376543,0.01009420002810657,0.26146199996583164,0.04281000001356006
100,9,0.0001759999431669712,0.009933499968610704,0.273730400018394,0.05693540000356734
100,10,0.0001756999408826232,0.009395399945788085,0.24821310001425445,0.05813769996166229
